Protocolo,Clientes,Mobilidade,Vazao_Mbps,Atraso_ms,Perda_pct
Mixed,1,Movel,0.504407,2.40539,88.4724
TCP,32,Estatico,0.137093,337.414,8.17284
Mixed,8,Movel,0.28057,225.165,82.5987
UDP,16,Movel,0.149433,413.613,94.4294
Mixed,4,Estatico,0.385383,6.44287,0
UDP,8,Movel,0.288624,269.525,89.7864
Mixed,1,Estatico,0.51504,2.18918,0
TCP,2,Estatico,0.255975,3.32304,0
Mixed,32,Estatico,0.133736,341.494,91.7608
UDP,8,Estatico,0.218002,332.193,57.4062
TCP,1,Estatico,0.256159,2.31583,0
TCP,32,Movel,0.0900314,290.702,25.6721
TCP,4,Movel,0.237342,3.76258,6.10998
TCP,8,Movel,0.24481,9.28872,5.38033
TCP,4,Estatico,0.255445,3.8071,0
TCP,16,Estatico,0.135881,340,7.84679
Mixed,32,Movel,0.0897005,496.472,96.3816
TCP,1,Movel,0.251168,2.7747,5.07614
Mixed,16,Movel,0.147461,397.965,92.983
UDP,32,Movel,0.0881417,544.233,97.4287
Mixed,4,Movel,0.367455,5.96592,82.0268
UDP,4,Estatico,0.434353,274.808,15.2329
TCP,16,Movel,0.155204,257.079,14.7653
UDP,4,Movel,0.442238,226.479,86.6615
UDP,32,Estatico,0.125255,405.058,89.0841
Mixed,16,Estatico,0.130601,406.647,74.5972
TCP,8,Estatico,0.254793,17.7486,0
UDP,2,Movel,0.498098,2.53331,74.3883
UDP,1,Movel,0.504407,2.40539,88.4724
Mixed,2,Estatico,0.385597,2.42178,0
UDP,2,Estatico,0.51504,2.18885,0
TCP,2,Movel,0.250291,3.21574,2.84024
Mixed,2,Movel,0.374094,2.68226,73.907
UDP,16,Estatico,0.125301,407.335,78.5018
Mixed,8,Estatico,0.228999,334.622,45.3541
UDP,1,Estatico,0.51504,2.18918,0
